Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,playerid
Adalberto Mondesi,Royals,149,649,605,153,29,9,20,82,76,33,175,3,49,14,0.253,0.293,0.43,0.723,0.303,85,4.8,4.3,-7.8,11.8,2.6,13769
Brandon Lowe,Rays,136,576,512,127,27,3,23,71,74,51,159,6,7,3,0.247,0.32,0.447,0.767,0.324,104,1.6,1.1,4.9,1.6,2.6,18882
Marcell Ozuna,Braves,147,634,569,157,28,2,31,82,99,57,131,3,7,3,0.276,0.343,0.495,0.837,0.35,114,0.2,1.9,11.7,-5.5,2.6,10324
Shohei Ohtani,Angels,130,555,492,138,26,4,29,80,89,53,143,4,13,5,0.28,0.353,0.524,0.876,0.364,130,0.6,0,22.1,-15.1,2.6,19755
Max Muncy,Dodgers,136,582,486,117,21,1,29,81,79,82,153,6,4,2,0.241,0.355,0.467,0.821,0.347,118,1.2,2.3,14.7,-7.1,2.6,13301
Andrew Benintendi,Red Sox,150,665,582,159,39,4,19,93,79,69,130,6,13,5,0.273,0.353,0.452,0.804,0.341,108,1.3,1.3,8.5,-5.5,2.6,17901
Bryan Reynolds,Pirates,149,653,585,169,34,4,18,82,73,53,138,6,7,3,0.288,0.351,0.453,0.804,0.341,111,0.5,-5.2,9.9,-4.7,2.6,19326
Gary Sanchez,Yankees,107,459,404,98,17,1,31,66,78,44,118,7,1,1,0.242,0.324,0.516,0.84,0.347,117,-0.4,-2.9,9.4,5.1,2.5,11442
Kolten Wong,Cardinals,143,577,504,134,28,3,12,62,61,51,89,13,16,6,0.266,0.347,0.409,0.756,0.323,101,2.2,1.8,2.6,4.2,2.5,12532
Luis Arraez,Twins,130,544,490,153,28,2,6,65,57,43,46,3,6,3,0.312,0.369,0.415,0.784,0.337,109,0.9,-3.5,7.4,-1.3,2.5,18568
Amed Rosario,Mets,150,625,578,159,30,6,15,69,68,33,112,4,20,8,0.275,0.318,0.423,0.741,0.312,96,1.7,-1.1,-1.6,6.4,2.4,15518
Mark Canha,Athletics,143,594,513,129,27,3,25,77,80,60,138,14,4,2,0.251,0.342,0.46,0.803,0.339,115,-0.2,-0.8,11,-7.2,2.4,11445
Kyle Seager,Mariners,141,593,531,129,28,1,26,69,78,50,120,6,3,2,0.242,0.312,0.445,0.757,0.318,101,-0.8,1.3,0.2,3.6,2.4,9785
Jean Segura,Phillies,150,673,618,178,35,3,16,85,71,38,84,7,13,5,0.288,0.334,0.433,0.767,0.325,98,1.5,-0.3,0.1,2.6,2.4,5933
Eddie Rosario,Twins,147,634,593,168,34,2,30,86,102,32,105,2,5,2,0.284,0.32,0.499,0.819,0.339,110,2.2,-1.2,10.5,-8.3,2.4,12155
Keston Hiura,Brewers,146,613,555,150,33,3,29,79,91,42,162,10,12,6,0.271,0.33,0.495,0.826,0.343,110,0.2,-5.9,8.2,-3.5,2.4,20003
